Transfer Protocall,number of messages,data size (bytes),average time (s),average throughput (bytes / sec),dropped messages
tcp,1024,0.001231798,831305.1328221023,,
tcp,1024,0.001137853,899940.5019804842,,
tcp,1024,0.00119227,858865.8609207645,,
tcp,1024,0.001125239,910028.8916399094,,
tcp,1024,0.001151476,889293.3938701284,,
tcp,1024,0.001194249,857442.6271238242,,
tcp,1024,0.001151535,889247.8300702975,,
tcp,1024,0.001142175,896535.1193993915,,
tcp,1024,0.001179567,868115.1642933381,,
tcp,1024,0.001096657,933746.8324188875,,
tcp,1024,0.001114152,919084.6491322549,,
tcp,1024,0.001171134,874366.2125768699,,
tcp,1024,0.001115943,917609.5911708751,,
tcp,1024,0.001174491,871867.0470867807,,
tcp,1024,0.001146081,893479.6057172224,,
tcp,1024,0.001201575,852214.8014064872,,
tcp,1024,0.001240715,825330.555365253,,
tcp,1024,0.001153151,888001.6580655959,,
tcp,1024,0.001145961,893573.1669751414,,
tcp,1024,0.001142109,896586.9282178845,,
tcp,1024,0.001189715,860710.3381902388,,
tcp,1024,0.001188016,861941.2533164535,,
tcp,1024,0.001121721,912882.9717906681,,
tcp,1024,0.001280743,799535.8943987982,,
tcp,1024,0.001120124,914184.5010016749,,
tcp,1024,0.001166683,877701.9978863153,,
tcp,1024,0.001139103,898952.9480652759,,
tcp,1024,0.001129502,906594.2335648809,,
tcp,1024,0.001137957,899858.2547495204,,
tcp,1024,0.001112245,920660.4659944527,,
tcp,1024,0.001126343,909136.9147764047,,
tcp,1024,0.001140829,897592.8907838071,,
tcp,1024,0.001137476,900238.774268644,,
tcp,1024,0.00109242,937368.4114168544,,
tcp,1024,0.001143668,895364.7387178796,,
tcp,1024,0.001141249,897262.5605805569,,
tcp,1024,0.001088949,940356.25176202,,
tcp,1024,0.001183772,865031.4418654944,,
tcp,1024,0.001196331,855950.4016864898,,
tcp,1024,0.001190118,860418.882833467,,
tcp,1024,0.001148374,891695.562595461,,
tcp,1024,0.001124281,910804.3273879039,,
tcp,1024,0.001119747,914492.2915622905,,
tcp,1024,0.001087092,941962.593782311,,
tcp,1024,0.001186413,863105.8493121703,,
tcp,1024,0.001149097,891134.5169293802,,
tcp,1024,0.001175945,870789.0249969173,,
tcp,1024,0.001139823,898385.1001427413,,
tcp,1024,0.001188342,861704.7954208469,,
tcp,1024,0.001150131,890333.362025717,,
tcp,1024,0.001167098,877389.9021333255,,
tcp,1024,0.001072797,954514.2277616363,,
tcp,1024,0.001178185,869133.4552723045,,
tcp,1024,0.001190455,860175.3111205379,,
tcp,1024,0.001093308,936607.0677247399,,
tcp,1024,0.001113572,919563.351090006,,
tcp,1024,0.00112922,906820.6372540337,,
tcp,1024,0.001141313,897212.2458957359,,
tcp,1024,0.001111439,921328.1160729468,,
tcp,1024,0.00111924,914906.5437260998,,
udp,1,0.000137515,7271.933970839545,,
udp,1,0.001122328,891.0051250614795,,
udp,1,0.001138957,877.996272027829,,
udp,1,0.001091461,916.2031442259504,,
udp,1,0.001124985,888.9007408987675,,
udp,1,0.001203393,830.9837268456771,,
udp,1,0.00110562,904.4698901973553,,
udp,1,0.001117135,895.1469607522815,,
udp,1,0.001193835,837.6366918376492,,
udp,1,0.001101871,907.5472537166329,,
udp,1,0.00116747,856.5530591792508,,
udp,1,0.001168487,855.8075528439769,,
udp,1,0.001146665,872.094290834725,,
udp,1,0.001144724,873.5730184743222,,
udp,1,0.001119451,893.2950169324071,,
udp,1,0.001104651,905.2632913019588,,
udp,1,0.001107949,902.5686200357597,,
udp,1,0.001249331,800.4283892739394,,
udp,1,0.001190368,840.076346138337,,
udp,1,0.001228149,814.233452129994,,
udp,1,0.001149663,869.8201125025333,,
udp,1,0.001136533,879.8688643444582,,
udp,1,0.001137,879.5074758135444,,
udp,1,0.001166761,857.0735566238501,,
udp,1,0.001157116,864.2175892477505,,
udp,1,0.001104771,905.1649617884611,,
udp,1,0.001141079,876.3635120793565,,
udp,1,0.001120597,892.3814716619801,,
udp,1,0.001143234,874.7115638618167,,
udp,1,0.001108138,902.4146812039655,,
udp,1,0.001198767,834.1904640351294,,
udp,1,0.00110046,908.7109027134109,,
udp,1,0.00110072,908.4962569954213,,
udp,1,0.001122316,891.014651844935,,
udp,1,0.001135155,880.9369645555012,,
udp,1,0.001085407,921.3133875127025,,
udp,1,0.001117482,894.8690001270714,,
udp,1,0.001102833,906.755601256038,,
udp,1,0.001165865,857.7322417261003,,
udp,1,0.001131765,883.5756539564309,,
udp,1,0.001077542,928.038071833859,,
udp,1,0.00124874,800.8072136713809,,
udp,1,0.001158062,863.5116254570135,,
udp,1,0.00108108,925.0009250009249,,
udp,1,0.00122065,819.2356531356245,,
udp,1,0.00115334,867.047011288952,,
udp,1,0.001218623,820.5983310671143,,
udp,1,0.001168997,855.4341884538626,,
udp,1,0.001195194,836.6842537696809,,
udp,1,0.001107409,903.0087348034918,,
udp,1,0.001106379,903.8494042276652,,
udp,1,0.001114759,897.0548791263402,,
udp,1,0.001181948,846.0609096170052,,
udp,1,0.00116818,856.0324607509117,,
udp,1,0.001175146,850.9580937177168,,
udp,1,0.001160287,861.855730521845,,
udp,1,0.001147006,871.8350209153223,,
udp,1,0.001171977,853.2590656642578,,
udp,1,0.001102441,907.0780205017774,,
udp,1,0.001111682,899.5378174693843,,
udp,1,0.001177126,849.5267286594639,,
udp,1,0.001183092,845.2428044480058,,
udp,1,0.001316955,759.3273877998868,,
udp,1,0.001155494,865.4307162131521,,
udp,1,0.00107204,932.8010148875042,,
udp,1,0.00113218,883.2517797523362,,
udp,1,0.001168745,855.618633662604,,
udp,1,0.001184204,844.4490982972529,,
udp,1,0.001205143,829.7770472051864,,
udp,1,0.0011938,837.6612497905846,,
udp,1,0.001185904,843.238575803775,,
udp,1,0.00114727,871.634401666565,,
udp,1,0.001204168,830.4489074614173,,
udp,1,0.001145941,872.6452758039027,,
udp,1,0.001102882,906.715314965699,,
udp,1,0.001121637,891.5540411024244,,
udp,1,0.001147093,871.7688975523345,,
udp,1,0.001190294,840.1285732768544,,
udp,1,0.001109033,901.6864241190299,,
udp,1,0.001100632,908.5688949621672,,
udp,1,0.001189756,840.508474006435,,
udp,1,0.001155735,865.250252004136,,
udp,1,0.001177001,849.6169501980032,,
udp,1,0.001191769,839.0887831450557,,
udp,1,0.001170808,854.1110070993707,,
udp,1,0.001107761,902.7217964885926,,
udp,1,0.001147609,871.3769236734812,,
udp,1,0.001098474,910.3538181149485,,
udp,1,0.001155727,865.2562413095826,,
udp,1,0.001216067,822.3231121311572,,
udp,1,0.001285251,778.058138060192,,
udp,1,0.001152462,867.7075686660385,,
udp,1,0.001243355,804.2755287106256,,
udp,1,0.001121757,891.4586670731719,,
udp,1,0.001145092,873.2922769524196,,
udp,1,0.0011798,847.6012883539584,,
udp,1,0.001181107,846.6633421019433,,
udp,1,0.001183223,845.1492237726954,,
